Obs.	statenum	casenum	accdate	acctime	speeding	alcres	drugres1	
484	27	241	09052015	1739	1	996	0	
485	48	2263	09202015	2121	0	150	.	
486	39	848	10272015	1300	1	0	1	
487	6	2252	12152015	1446	0	.	.	
488	29	485	08162015	0058	0	192	0	
489	36	823	10142015	0650	1	0	1	
490	41	42	02242015	0812	0	0	1	
491	48	319	02142015	0432	0	996	0	
492	49	8	01182015	0133	0	0	1	
493	48	1898	08142015	1647	0	0	1	
494	4	357	06042015	0027	1	0	1	
495	12	879	05162015	1940	0	995	95	
496	13	24	01092015	1410	0	996	0	
497	37	349	05172015	1313	0	0	0	
498	45	716	10302015	1100	0	996	0	
499	22	178	04212015	0134	1	0	0	
500	48	914	05032015	2037	0	0	1	
501	48	2844	11172015	2036	0	185	603	
502	1	422	06252015	2045	0	0	1	
503	5	347	09202015	1438	1	998	1	
504	12	1485	06122015	1950	0	996	0	
505	26	337	06282015	0050	1	0	1	
506	34	244	02092015	2111	0	996	0	
507	39	363	05242015	2302	1	288	605	
508	12	17	01032015	1421	0	996	0	
509	37	969	10202015	0754	0	996	0	
510	48	947	05102015	2240	1	24	0	
511	34	415	12262015	1934	1	0	318	
512	5	452	12012015	0615	0	.	.	
513	17	837	12022015	0836	0	0	1	
514	24	254	08022015	1156	0	995	95	
515	29	143	03252015	1143	0	0	0	
516	29	450	08112015	2310	1	270	0	
517	41	403	11202015	0914	0	996	0	
518	42	903	08302015	0311	0	996	0	
519	26	660	10022015	1502	0	996	0	
520	12	1211	06262015	1505	1	995	95	
521	18	661	09152015	1438	1	996	0	
522	48	3050	12152015	2345	0	134	1	
523	53	356	09132015	0220	0	996	0	
524	9	155	11052015	2027	0	996	0	
525	4	765	12092015	1721	0	996	.	
526	6	1535	07122015	1619	0	996	0	
527	39	1044	10222015	2243	1	0	0	
528	13	162	02212015	1319	0	0	1	
529	4	679	11082015	0514	1	30	0	
530	12	2379	12132015	1102	0	996	0	
531	17	783	11152015	0634	1	0	999	
532	42	879	12012015	0537	0	996	0	
533	12	2211	11092015	1547	0	0	1	
534	17	323	06122015	1651	1	0	1	
535	47	7	01062015	0951	0	0	423	
536	4	190	03142015	2018	0	330	1	
537	32	181	10242015	1830	0	997	997	
538	48	934	05072015	0914	0	996	0	
539	18	281	06032015	2100	1	320	.	
540	6	926	04192015	0518	0	996	0	
541	21	587	11132015	1738	0	996	0	
542	24	139	05102015	1444	0	0	1	
543	35	79	05162015	1240	0	996	0	
544	48	27	01042015	2315	0	217	1	
545	51	700	12162015	0630	0	996	0	
546	6	2038	10202015	0550	0	996	0	
547	34	385	11052015	1036	0	0	1	
548	6	1575	09112015	1925	0	.	.	
549	12	695	02012015	0518	1	995	95	
550	5	229	07052015	1311	0	0	0	
551	18	267	06022015	1102	0	996	0	
552	25	279	09062015	1425	0	997	997	
553	48	844	04222015	1408	0	996	0	
554	12	502	03132015	0509	0	996	0	
555	4	451	07282015	2315	0	167	0	
556	28	53	02152015	1500	0	996	0	
557	12	1410	07022015	0015	0	996	0	
558	13	1101	11022015	1255	0	0	997	
559	39	470	07122015	1006	0	0	1	
560	18	305	06062015	0030	0	200	1	
561	48	1069	03082015	1923	1	250	0	
562	6	1630	10072015	1957	0	0	.	
563	24	221	07022015	2153	0	996	0	
564	26	198	05052015	0535	0	0	0	
565	40	313	07302015	0805	0	996	0	
566	6	175	02012015	1411	0	996	0	
567	47	900	12282015	1204	0	0	.	
